date,product_id,units_sold,promo_flag,discount_pct,realised_selling_price,revenue,product_cost,impressions,clicks,ad_spend,ad_attributed_units,fulfilment_fees,profit,cpc,roas,acos,profit_margin_pct,click_to_order_proxy
2025-02-19,SKU001,1,0,0.0,41.7,41.7,24.77,2494,56,44.82,1,1.35,-29.24,0.8003571428571429,0.9303882195448461,1.074820143884892,-0.701199040767386,0.017857142857142856
2025-02-20,SKU001,1,1,0.1373,35.98,35.98,24.77,2558,56,50.29,4,1.92,-41.0,0.8980357142857143,0.7154503877510439,1.397720956086715,-1.1395219566425794,0.07142857142857142
2025-02-21,SKU001,3,0,0.0,41.7,125.1,74.31,1640,37,33.62,1,6.95,10.22,0.9086486486486486,3.7209994051160025,0.26874500399680257,0.08169464428457235,0.02702702702702703
2025-02-22,SKU001,1,0,0.0,41.7,41.7,24.77,3204,79,70.92,5,2.28,-56.27,0.8977215189873418,0.5879864636209814,1.7007194244604316,-1.349400479616307,0.06329113924050633
2025-02-23,SKU001,3,0,0.0,41.7,125.1,74.31,2627,75,64.88,4,7.49,-21.58,0.8650666666666667,1.9281750924784218,0.5186250999200639,-0.17250199840127897,0.05333333333333334
2025-02-24,SKU001,0,0,0.0,41.7,0.0,0.0,2423,78,68.09,4,0.0,-68.09,0.872948717948718,0.0,,,0.05128205128205128
2025-02-25,SKU001,3,0,0.0,41.7,125.1,74.31,1324,32,25.35,1,7.65,17.79,0.7921875,4.93491124260355,0.20263788968824942,0.1422062350119904,0.03125
2025-02-26,SKU001,2,0,0.0,41.7,83.4,49.54,2256,54,46.61,3,2.2,-14.95,0.8631481481481481,1.7893155975112638,0.558872901678657,-0.1792565947242206,0.05555555555555555
2025-02-27,SKU001,5,0,0.0,41.7,208.5,123.85,2793,70,58.43,1,10.38,15.84,0.8347142857142857,3.5683724114324833,0.2802398081534772,0.07597122302158274,0.014285714285714285
2025-02-28,SKU001,5,0,0.0,41.7,208.5,123.85,2188,58,46.93,4,13.3,24.42,0.8091379310344827,4.442787129767739,0.22508393285371703,0.11712230215827339,0.06896551724137931
2025-03-01,SKU001,3,1,0.1418,35.79,107.37,74.31,2570,67,53.25,2,3.19,-23.38,0.7947761194029851,2.016338028169014,0.49594858899133837,-0.2177516997299059,0.029850746268656716
2025-03-02,SKU001,1,0,0.0,41.7,41.7,24.77,2077,45,35.69,5,1.54,-20.3,0.7931111111111111,1.1683945082656209,0.8558752997601917,-0.48681055155875297,0.1111111111111111
2025-03-03,SKU001,3,0,0.0,41.7,125.1,74.31,2032,59,49.06,2,6.79,-5.06,0.8315254237288136,2.5499388503872806,0.3921662669864109,-0.040447641886490804,0.03389830508474576
2025-03-04,SKU001,5,1,0.0688,38.83,194.15,123.85,2296,58,47.11,6,5.83,17.36,0.8122413793103448,4.121205688813416,0.2426474375482874,0.0894154004635591,0.10344827586206896
2025-03-05,SKU001,3,0,0.0,41.7,125.1,74.31,2085,52,46.13,4,4.97,-0.31,0.8871153846153846,2.711901148926945,0.3687450039968026,-0.0024780175859312552,0.07692307692307693
2025-03-06,SKU001,1,0,0.0,41.7,41.7,24.77,1581,48,42.33,2,2.76,-28.16,0.881875,0.9851169383416019,1.0151079136690646,-0.6752997601918465,0.041666666666666664
2025-03-07,SKU001,5,0,0.0,41.7,208.5,123.85,3220,104,84.1,6,9.58,-9.03,0.8086538461538461,2.479191438763377,0.40335731414868103,-0.04330935251798561,0.057692307692307696
2025-03-08,SKU001,2,0,0.0,41.7,83.4,49.54,2280,53,44.77,1,2.35,-13.26,0.8447169811320755,1.8628545901273175,0.536810551558753,-0.15899280575539568,0.018867924528301886
2025-03-09,SKU001,3,0,0.0,41.7,125.1,74.31,1689,43,36.69,2,4.58,9.52,0.8532558139534884,3.409648405560098,0.2932853717026379,0.07609912070343725,0.046511627906976744
2025-03-10,SKU001,2,0,0.0,41.7,83.4,49.54,2327,62,55.05,8,3.54,-24.73,0.8879032258064515,1.5149863760217985,0.6600719424460431,-0.2965227817745803,0.12903225806451613
2025-03-11,SKU001,4,0,0.0,41.7,166.8,99.08,1768,41,32.48,5,5.89,29.35,0.7921951219512194,5.135467980295568,0.19472422062350117,0.17595923261390886,0.12195121951219512
2025-03-12,SKU001,5,0,0.0,41.7,208.5,123.85,2035,61,54.78,1,11.19,18.68,0.8980327868852459,3.806133625410734,0.26273381294964027,0.08959232613908873,0.01639344262295082
2025-03-13,SKU001,4,0,0.0,41.7,166.8,99.08,2081,49,43.78,1,5.72,18.22,0.8934693877551021,3.80995888533577,0.2624700239808153,0.10923261390887289,0.02040816326530612
2025-03-14,SKU001,2,0,0.0,41.7,83.4,49.54,1495,35,28.54,1,4.64,0.68,0.8154285714285714,2.9222144358794675,0.3422062350119904,0.00815347721822542,0.02857142857142857
2025-03-15,SKU001,1,0,0.0,41.7,41.7,24.77,2410,64,57.43,2,1.25,-41.75,0.89734375,0.7261013407626676,1.377218225419664,-1.001199040767386,0.03125
2025-03-16,SKU001,3,0,0.0,41.7,125.1,74.31,1987,33,29.99,2,5.76,15.04,0.9087878787878787,4.171390463487829,0.23972821742605915,0.12022382094324541,0.06060606060606061
2025-03-17,SKU001,3,0,0.0,41.7,125.1,74.31,3764,85,67.51,2,3.76,-20.48,0.7942352941176472,1.8530588061027993,0.5396482813749002,-0.163709032773781,0.023529411764705882
2025-03-18,SKU001,3,0,0.0,41.7,125.1,74.31,3269,106,91.84,5,4.01,-45.06,0.8664150943396227,1.3621515679442509,0.7341326938449241,-0.3601918465227818,0.04716981132075472
2025-03-19,SKU001,2,0,0.0,41.7,83.4,49.54,3175,101,86.24,8,1.7,-54.08,0.8538613861386138,0.9670686456400743,1.0340527577937648,-0.648441247002398,0.07920792079207921
2025-03-20,SKU001,2,0,0.0,41.7,83.4,49.54,2368,57,46.16,4,4.31,-16.61,0.8098245614035087,1.8067590987868287,0.5534772182254196,-0.1991606714628297,0.07017543859649122
2025-03-21,SKU001,3,0,0.0,41.7,125.1,74.31,1848,47,38.63,4,3.83,8.33,0.8219148936170213,3.238415739062904,0.30879296562749803,0.0665867306155076,0.0851063829787234
2025-03-22,SKU001,2,0,0.0,41.7,83.4,49.54,1126,34,29.31,0,4.93,-0.38,0.8620588235294118,2.845445240532242,0.35143884892086324,-0.004556354916067146,0.0
2025-03-23,SKU001,2,0,0.0,41.7,83.4,49.54,2742,59,48.56,3,5.12,-19.82,0.8230508474576271,1.7174629324546953,0.5822541966426859,-0.23764988009592325,0.05084745762711865
2025-03-24,SKU001,1,0,0.0,41.7,41.7,24.77,2248,55,44.5,4,0.88,-28.45,0.8090909090909091,0.9370786516853933,1.0671462829736211,-0.6822541966426858,0.07272727272727272
2025-03-25,SKU001,3,0,0.0,41.7,125.1,74.31,2603,66,59.44,3,6.28,-14.93,0.9006060606060605,2.10464333781965,0.4751398880895284,-0.1193445243804956,0.045454545454545456
2025-03-26,SKU001,3,0,0.0,41.7,125.1,74.31,2413,66,57.28,3,7.86,-14.35,0.8678787878787879,2.184008379888268,0.4578737010391687,-0.11470823341326938,0.045454545454545456
2025-03-27,SKU001,2,0,0.0,41.7,83.4,49.54,2632,65,54.52,2,3.4,-24.06,0.8387692307692308,1.52971386647102,0.6537170263788968,-0.28848920863309346,0.03076923076923077
2025-03-28,SKU001,2,0,0.0,41.7,83.4,49.54,2520,48,40.2,3,1.78,-8.12,0.8375,2.074626865671642,0.48201438848920863,-0.09736211031175059,0.0625
2025-03-29,SKU001,1,0,0.0,41.7,41.7,24.77,718,24,20.7,1,2.48,-6.25,0.8624999999999999,2.0144927536231885,0.4964028776978417,-0.14988009592326137,0.041666666666666664
2025-03-30,SKU001,3,1,0.1191,36.73,110.19,74.31,3624,91,72.88,2,5.33,-42.33,0.8008791208791208,1.5119374313940726,0.6614030311280515,-0.38415464198203103,0.02197802197802198
2025-03-31,SKU001,3,1,0.1209,36.66,109.98,74.31,2164,40,34.56,3,8.28,-7.17,0.8640000000000001,3.1822916666666665,0.3142389525368249,-0.06519367157665029,0.075
2025-04-01,SKU001,4,0,0.0,41.7,166.8,99.08,936,19,16.18,2,7.56,43.98,0.851578947368421,10.30902348578492,0.09700239808153477,0.2636690647482014,0.10526315789473684
2025-04-02,SKU001,3,0,0.0,41.7,125.1,74.31,1371,45,37.17,3,3.29,10.33,0.8260000000000001,3.365617433414043,0.2971223021582734,0.08257394084732214,0.06666666666666667
2025-04-03,SKU001,3,0,0.0,41.7,125.1,74.31,2732,60,47.59,4,5.2,-2.0,0.7931666666666667,2.6287035091405753,0.38041566746602723,-0.01598721023181455,0.06666666666666667
2025-04-04,SKU001,2,0,0.0,41.7,83.4,49.54,2657,72,61.46,6,3.05,-30.65,0.8536111111111111,1.356980149690856,0.7369304556354915,-0.36750599520383687,0.08333333333333333
2025-04-05,SKU001,5,1,0.0577,39.29,196.45,123.85,2414,57,49.49,2,4.31,18.8,0.8682456140350877,3.969488785613255,0.25192160855179435,0.09569865105624842,0.03508771929824561
2025-04-06,SKU001,2,0,0.0,41.7,83.4,49.54,2752,71,61.68,4,4.77,-32.59,0.8687323943661972,1.3521400778210118,0.7395683453237409,-0.3907673860911271,0.056338028169014086
2025-04-07,SKU001,1,1,0.1569,35.16,35.16,24.77,1192,32,28.76,2,1.36,-19.73,0.89875,1.2225312934631432,0.8179749715585894,-0.5611490329920364,0.0625
2025-04-08,SKU001,3,0,0.0,41.7,125.1,74.31,900,30,26.2,0,5.27,19.32,0.8733333333333333,4.7748091603053435,0.20943245403677058,0.15443645083932855,0.0
2025-04-09,SKU001,4,0,0.0,41.7,166.8,99.08,1671,28,22.15,0,3.47,42.1,0.7910714285714285,7.530474040632055,0.13279376498800957,0.25239808153477217,0.0
2025-04-10,SKU001,4,0,0.0,41.7,166.8,99.08,1231,28,24.3,1,5.52,37.9,0.8678571428571429,6.864197530864198,0.14568345323741005,0.22721822541966424,0.03571428571428571
2025-04-11,SKU001,3,0,0.0,41.7,125.1,74.31,2317,73,64.12,2,7.1,-20.43,0.8783561643835617,1.9510293200249529,0.5125499600319745,-0.16330935251798562,0.0273972602739726
2025-04-12,SKU001,5,1,0.1575,35.13,175.65,123.85,3317,96,82.45,4,13.36,-44.01,0.8588541666666667,2.1303820497271073,0.4693993737546257,-0.2505550811272417,0.041666666666666664
2025-04-13,SKU001,0,0,0.0,41.7,0.0,0.0,2439,69,61.66,6,0.0,-61.66,0.893623188405797,0.0,,,0.08695652173913043
2025-04-14,SKU001,3,0,0.0,41.7,125.1,74.31,1924,55,44.09,2,3.07,3.63,0.8016363636363637,2.837378090269902,0.35243804956035174,0.029016786570743407,0.03636363636363636
2025-04-15,SKU001,0,0,0.0,41.7,0.0,0.0,2641,66,56.58,5,0.0,-56.58,0.8572727272727273,0.0,,,0.07575757575757576
2025-04-16,SKU001,1,0,0.0,41.7,41.7,24.77,2601,65,52.27,1,2.13,-37.47,0.8041538461538462,0.797780753778458,1.2534772182254197,-0.8985611510791366,0.015384615384615385
2025-04-17,SKU001,2,0,0.0,41.7,83.4,49.54,2612,78,69.64,7,2.67,-38.45,0.8928205128205128,1.1975875933371627,0.8350119904076738,-0.46103117505995206,0.08974358974358974
2025-04-18,SKU001,1,0,0.0,41.7,41.7,24.77,2457,55,45.2,3,0.95,-29.22,0.8218181818181819,0.922566371681416,1.0839328537170263,-0.7007194244604316,0.05454545454545454
2025-04-19,SKU001,1,0,0.0,41.7,41.7,24.77,1252,34,29.94,3,2.01,-15.02,0.8805882352941177,1.3927855711422845,0.7179856115107913,-0.36019184652278174,0.08823529411764706
2025-04-20,SKU001,4,0,0.0,41.7,166.8,99.08,1733,47,40.99,3,8.16,18.57,0.8721276595744681,4.069285191510125,0.24574340527577937,0.11133093525179856,0.06382978723404255
2025-04-21,SKU001,3,0,0.0,41.7,125.1,74.31,1542,47,42.6,0,6.54,1.65,0.9063829787234042,2.936619718309859,0.34052757793764993,0.013189448441247002,0.0
2025-04-22,SKU001,2,0,0.0,41.7,83.4,49.54,2338,68,60.06,4,5.31,-31.51,0.8832352941176471,1.3886113886113887,0.7201438848920864,-0.3778177458033573,0.058823529411764705
2025-04-23,SKU001,2,0,0.0,41.7,83.4,49.54,3297,73,65.72,4,3.17,-35.03,0.9002739726027397,1.2690200852099818,0.788009592326139,-0.4200239808153477,0.0547945205479452
2025-04-24,SKU001,4,0,0.0,41.7,166.8,99.08,2416,66,59.6,0,9.84,-1.72,0.9030303030303031,2.7986577181208054,0.35731414868105515,-0.010311750599520383,0.0
2025-04-25,SKU001,4,0,0.0,41.7,166.8,99.08,3121,86,71.13,8,9.31,-12.72,0.8270930232558139,2.3450021088148465,0.42643884892086326,-0.07625899280575539,0.09302325581395349
2025-04-26,SKU001,5,0,0.0,41.7,208.5,123.85,2938,73,62.24,3,12.95,9.46,0.8526027397260274,3.3499357326478147,0.29851318944844124,0.04537170263788969,0.0410958904109589
2025-04-27,SKU001,3,0,0.0,41.7,125.1,74.31,2630,62,52.32,2,7.48,-9.01,0.8438709677419355,2.3910550458715596,0.4182254196642686,-0.07202238209432454,0.03225806451612903
2025-04-28,SKU001,2,0,0.0,41.7,83.4,49.54,2660,56,47.16,2,4.96,-18.26,0.8421428571428571,1.7684478371501275,0.5654676258992805,-0.21894484412470025,0.03571428571428571
2025-04-29,SKU001,7,0,0.0,41.7,291.9,173.39,1422,33,28.46,1,6.93,83.12,0.8624242424242424,10.256500351370343,0.09749914354230901,0.28475505310037685,0.030303030303030304
2025-04-30,SKU001,4,0,0.0,41.7,166.8,99.08,2721,73,61.12,5,4.8,1.8,0.8372602739726027,2.729057591623037,0.3664268585131894,0.010791366906474819,0.0684931506849315
2025-05-01,SKU001,1,0,0.0,41.7,41.7,24.77,2086,59,51.23,1,1.47,-35.77,0.8683050847457626,0.8139761858286162,1.2285371702637888,-0.8577937649880096,0.01694915254237288
2025-05-02,SKU001,2,0,0.0,41.7,83.4,49.54,1674,39,30.85,2,3.53,-0.52,0.7910256410256411,2.7034035656401945,0.3699040767386091,-0.006235011990407674,0.05128205128205128
2025-05-03,SKU001,4,0,0.0,41.7,166.8,99.08,2097,64,54.04,4,4.18,9.5,0.844375,3.0866025166543305,0.3239808153477218,0.05695443645083932,0.0625
2025-05-04,SKU001,0,0,0.0,41.7,0.0,0.0,2152,45,39.21,3,0.0,-39.21,0.8713333333333334,0.0,,,0.06666666666666667
2025-05-05,SKU001,2,1,0.0521,39.53,79.06,49.54,2545,65,52.26,3,4.42,-27.16,0.8039999999999999,1.512820512820513,0.6610169491525423,-0.3435365545155578,0.046153846153846156
2025-05-06,SKU001,3,1,0.1429,35.74,107.22,74.31,3549,91,74.32,7,5.41,-46.82,0.8167032967032967,1.4426803013993543,0.6931542622645028,-0.43667226263756764,0.07692307692307693
2025-05-07,SKU001,5,0,0.0,41.7,208.5,123.85,1870,49,41.02,1,10.78,32.85,0.8371428571428572,5.08288639687957,0.19673860911270985,0.15755395683453238,0.02040816326530612
2025-05-08,SKU001,3,0,0.0,41.7,125.1,74.31,2171,69,62.91,0,5.1,-17.22,0.9117391304347826,1.988555078683834,0.5028776978417266,-0.13764988009592327,0.0
2025-05-09,SKU001,3,0,0.0,41.7,125.1,74.31,2227,56,48.38,3,6.54,-4.13,0.8639285714285715,2.5857792476229844,0.38673061550759397,-0.03301358912869704,0.05357142857142857
2025-05-10,SKU001,2,0,0.0,41.7,83.4,49.54,1453,43,36.36,2,3.4,-5.9,0.8455813953488373,2.293729372937294,0.4359712230215827,-0.07074340527577938,0.046511627906976744
2025-05-11,SKU001,2,0,0.0,41.7,83.4,49.54,3434,71,59.95,0,4.69,-30.78,0.8443661971830986,1.39115929941618,0.7188249400479616,-0.36906474820143886,0.0
2025-05-12,SKU001,0,0,0.0,41.7,0.0,0.0,3201,102,92.32,6,0.0,-92.32,0.9050980392156862,0.0,,,0.058823529411764705
2025-05-13,SKU001,3,0,0.0,41.7,125.1,74.31,2688,71,63.12,3,8.38,-20.71,0.8890140845070422,1.981939163498099,0.5045563549160671,-0.16554756195043965,0.04225352112676056
2025-05-14,SKU001,4,0,0.0,41.7,166.8,99.08,1132,32,25.35,3,6.04,36.33,0.7921875,6.579881656804734,0.15197841726618705,0.21780575539568342,0.09375
2025-05-15,SKU001,2,0,0.0,41.7,83.4,49.54,1939,52,43.48,2,3.65,-13.27,0.8361538461538461,1.9181232750689976,0.5213429256594724,-0.15911270983213427,0.038461538461538464
2025-05-16,SKU001,3,0,0.0,41.7,125.1,74.31,1673,55,49.26,4,6.23,-4.7,0.8956363636363636,2.5395858708891597,0.3937649880095923,-0.03756994404476419,0.07272727272727272
2025-05-17,SKU001,3,0,0.0,41.7,125.1,74.31,3090,75,64.73,3,2.57,-16.51,0.8630666666666668,1.9326432875019308,0.5174260591526779,-0.13197442046362912,0.04
2025-05-18,SKU001,1,0,0.0,41.7,41.7,24.77,1568,31,24.88,2,0.82,-8.77,0.8025806451612902,1.6760450160771705,0.5966426858513189,-0.21031175059952037,0.06451612903225806
2025-05-19,SKU001,3,0,0.0,41.7,125.1,74.31,2745,83,67.68,3,4.31,-21.2,0.815421686746988,1.8484042553191486,0.5410071942446044,-0.16946442845723422,0.03614457831325301
2025-05-20,SKU001,4,0,0.0,41.7,166.8,99.08,2923,67,55.3,3,7.12,5.3,0.8253731343283581,3.0162748643761303,0.33153477218225413,0.03177458033573141,0.04477611940298507
2025-05-21,SKU001,5,0,0.0,41.7,208.5,123.85,1873,51,45.81,1,5.67,33.17,0.8982352941176471,4.551407989521938,0.21971223021582734,0.15908872901678658,0.0196078431372549
2025-05-22,SKU001,4,0,0.0,41.7,166.8,99.08,1570,51,44.52,2,7.57,15.63,0.8729411764705883,3.746630727762803,0.2669064748201439,0.09370503597122302,0.0392156862745098
2025-05-23,SKU001,6,0,0.0,41.7,250.2,148.62,2239,75,65.48,4,15.09,21.01,0.8730666666666668,3.8210140500916308,0.26171063149480417,0.08397282174260592,0.05333333333333334
2025-05-24,SKU001,5,0,0.0,41.7,208.5,123.85,3396,85,76.27,4,9.11,-0.73,0.8972941176470588,2.7337091910318607,0.36580335731414865,-0.003501199040767386,0.047058823529411764
2025-05-25,SKU001,1,0,0.0,41.7,41.7,24.77,3050,87,68.77,4,1.16,-53.0,0.7904597701149425,0.6063690562745384,1.6491606714628295,-1.2709832134292565,0.04597701149425287
2025-05-26,SKU001,5,1,0.0556,39.38,196.9,123.85,2524,68,54.21,1,7.5,11.34,0.7972058823529412,3.6321711861280206,0.2753174200101574,0.05759268664296597,0.014705882352941176
