product_id,product_name,category,tier,selling_price,unit_cost,base_margin_pct,base_daily_units,ad_strategy,base_ctr,base_conversion,base_cpc,seasonality_strength
SKU048,Phone Stand Basic,Electronics,Mid,37.47,22.66,0.3952,4.19,Efficient,0.0492,0.1519,1.2,0.299
SKU049,Harness Lite,Pet Supplies,Mid,46.98,29.02,0.3823,3.93,Efficient,0.0228,0.0712,0.37,0.27
SKU050,Foam Roller Plus,Fitness,Mid,37.71,17.31,0.541,4.46,Wasteful,0.0536,0.0433,0.98,0.197
SKU051,Pet Blanket Plus,Pet Supplies,Mid,51.8,27.66,0.466,9.84,Average,0.0394,0.1132,0.25,0.232
SKU052,Food Container Basic,Home & Kitchen,Mid,35.09,18.68,0.4677,8.9,Underinvested,0.0183,0.169,0.67,0.115
SKU053,Dog Toy Lite,Pet Supplies,Budget,10.93,5.98,0.4529,8.1,Average,0.0318,0.1177,0.57,0.224
SKU054,Travel Bottle Set Max,Beauty,Budget,20.56,12.01,0.4159,12.01,Efficient,0.0203,0.0361,0.33,0.12
SKU055,Training Pads Lite,Pet Supplies,Mid,39.64,24.79,0.3746,9.15,Efficient,0.0262,0.0782,0.25,0.17
SKU056,Mini Projector Lite,Electronics,Budget,20.16,14.52,0.2798,11.17,Underinvested,0.0351,0.1686,0.4,0.24
SKU057,Skipping Rope Plus,Fitness,Budget,11.53,5.77,0.4996,14.74,Average,0.0349,0.0461,0.62,0.183
SKU058,Dish Rack Lite,Home & Kitchen,Budget,15.9,7.25,0.544,5.07,Average,0.022,0.0814,0.65,0.139
SKU059,Coffee Grinder Plus,Home & Kitchen,Budget,15.52,8.45,0.4555,12.95,Average,0.0175,0.0726,0.53,0.211
SKU060,Protein Shaker Pro,Fitness,Premium,112.55,75.07,0.333,0.91,Efficient,0.0226,0.0541,0.35,0.121
SKU061,Dish Rack Pro,Home & Kitchen,Mid,35.54,14.44,0.5937,2.9,Average,0.0537,0.1598,1.01,0.114
SKU062,Desk Fan Basic,Electronics,Mid,39.66,23.13,0.4168,8.71,Efficient,0.0536,0.1366,0.36,0.234
SKU063,Cotton Pads Basic,Beauty,Mid,31.52,17.23,0.4534,3.23,Average,0.0349,0.0378,0.5,0.084
SKU064,Foam Roller Plus,Fitness,Budget,19.34,12.78,0.3392,12.18,Wasteful,0.0376,0.1007,0.58,0.137
SKU065,Coffee Grinder Max,Home & Kitchen,Premium,66.81,33.02,0.5058,4.25,Efficient,0.0149,0.1412,0.75,0.26
SKU066,USB Hub Lite,Electronics,Budget,10.29,7.13,0.3071,13.77,Wasteful,0.0345,0.0838,1.07,0.148
SKU067,Laptop Sleeve Basic,Electronics,Mid,38.59,25.81,0.3312,9.2,Average,0.0354,0.166,0.81,0.079
SKU068,Mini Projector Pro,Electronics,Budget,9.95,4.7,0.5276,11.44,Average,0.0504,0.1483,0.31,0.128
SKU069,Cat Brush Basic,Pet Supplies,Budget,15.98,7.72,0.5169,14.52,Average,0.0473,0.0466,1.04,0.082
SKU070,Treat Pouch Lite,Pet Supplies,Mid,35.5,17.03,0.5203,2.1,Average,0.0363,0.1374,0.78,0.257
SKU071,Massage Ball Plus,Fitness,Premium,69.57,37.9,0.4552,2.52,Average,0.0128,0.1608,1.13,0.191
SKU072,LED Mirror Lite,Beauty,Mid,27.03,14.82,0.4517,6.85,Average,0.0437,0.1702,1.12,0.163
SKU073,Pet Blanket Plus,Pet Supplies,Mid,26.11,11.17,0.5722,8.96,Average,0.0374,0.0899,0.21,0.134
SKU074,Face Serum Lite,Beauty,Mid,25.77,15.59,0.395,8.91,Underinvested,0.032,0.1021,1.11,0.197
SKU075,Wireless Charger Pro,Electronics,Budget,10.47,6.03,0.4241,9.03,Underinvested,0.0276,0.1171,0.81,0.053
SKU076,Pet Bowl Basic,Pet Supplies,Premium,69.12,41.81,0.3951,0.84,Underinvested,0.0336,0.1193,0.22,0.237
SKU077,Webcam Cover Pro,Electronics,Budget,14.56,7.74,0.4684,8.53,Wasteful,0.0373,0.0741,0.9,0.182
SKU078,Face Serum Plus,Beauty,Mid,47.26,33.74,0.2861,4.67,Efficient,0.0444,0.0708,1.09,0.182
SKU079,Dish Rack Max,Home & Kitchen,Mid,50.61,30.73,0.3928,6.41,Average,0.0204,0.1058,0.77,0.135
SKU080,Cat Brush Pro,Pet Supplies,Mid,29.86,21.36,0.2847,3.95,Wasteful,0.0488,0.1545,0.57,0.217
SKU081,Training Pads Plus,Pet Supplies,Budget,9.2,6.23,0.3228,4.32,Efficient,0.0371,0.0932,1.09,0.254
SKU082,Makeup Organiser Plus,Beauty,Mid,33.98,25.08,0.2619,8.65,Average,0.0453,0.0844,1.05,0.105
SKU083,Ankle Weights Max,Fitness,Budget,20.16,11.68,0.4206,14.73,Wasteful,0.0303,0.0334,0.43,0.185
SKU084,Pet Bowl Basic,Pet Supplies,Budget,19.69,7.98,0.5947,10.31,Efficient,0.0237,0.0328,1.11,0.079
SKU085,Face Serum Plus,Beauty,Mid,43.5,19.99,0.5405,3.65,Efficient,0.0179,0.165,1.07,0.199
SKU086,LED Mirror Basic,Beauty,Mid,40.92,18.69,0.5433,5.24,Wasteful,0.0301,0.0831,1.16,0.096
SKU087,Lint Roller Pro,Pet Supplies,Budget,13.45,8.73,0.3509,8.27,Wasteful,0.0248,0.115,0.65,0.216
SKU088,Treat Pouch Basic,Pet Supplies,Budget,15.56,10.79,0.3066,14.1,Wasteful,0.0531,0.0532,0.8,0.169
SKU089,Storage Basket Basic,Home & Kitchen,Budget,17.87,9.66,0.4594,9.52,Efficient,0.0153,0.0304,1.17,0.051
SKU090,Makeup Organiser Lite,Beauty,Budget,20.84,14.63,0.298,15.4,Average,0.02,0.1113,1.07,0.233
SKU091,Pet Bowl Lite,Pet Supplies,Mid,50.02,33.14,0.3375,5.92,Efficient,0.0545,0.1716,0.19,0.226
SKU092,Dish Rack Plus,Home & Kitchen,Mid,52.21,38.54,0.2618,7.58,Average,0.0517,0.1757,1.14,0.169
SKU093,Cotton Pads Pro,Beauty,Budget,19.6,14.45,0.2628,11.16,Efficient,0.0172,0.0415,0.88,0.135
SKU094,Cotton Pads Basic,Beauty,Mid,43.83,21.55,0.5083,6.16,Average,0.0497,0.0926,0.64,0.298
SKU095,Mini Projector Lite,Electronics,Mid,52.99,24.93,0.5295,9.98,Average,0.045,0.0903,0.65,0.207
SKU096,Cotton Pads Basic,Beauty,Mid,35.79,21.56,0.3976,7.9,Efficient,0.0168,0.0832,0.45,0.124
SKU097,Pet Bowl Basic,Pet Supplies,Premium,59.28,42.19,0.2883,2.07,Efficient,0.0531,0.1497,0.42,0.197
SKU098,Desk Fan Lite,Electronics,Premium,125.62,91.36,0.2727,2.11,Wasteful,0.0219,0.1546,0.28,0.062
SKU099,Knife Set Basic,Home & Kitchen,Budget,18.91,11.87,0.3723,4.69,Underinvested,0.05,0.1692,1.19,0.093
SKU100,Protein Shaker Plus,Fitness,Mid,54.88,23.92,0.5641,5.71,Average,0.0442,0.0352,1.09,0.265
